AGE	INCOME	GENDER	MARITAL	NUMKIDS	NUMCARDS	HOWPAID	MORTGAGE	STORECARDS	LOANS
42	58785	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
33	58505	"f"	"married"	0	2	"monthly"	"y"	1	0
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
32	57718	"m"	"married"	1	2	"monthly"	"y"	1	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
35	57689	"m"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
38	57683	"f"	"married"	1	1	"monthly"	"y"	2	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
28	57623	"m"	"married"	1	1	"monthly"	"y"	1	1
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
41	57520	"f"	"married"	1	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
43	57388	"f"	"married"	0	1	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
38	56590	"m"	"married"	0	2	"monthly"	"y"	1	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
31	55897	"m"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
36	55777	"f"	"married"	1	2	"monthly"	"y"	2	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
38	55565	"m"	"married"	1	2	"monthly"	"y"	1	0
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
34	55497	"m"	"married"	1	1	"monthly"	"y"	2	1
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
36	55421	"m"	"married"	0	2	"monthly"	"y"	2	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
42	55140	"m"	"married"	1	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
36	54938	"m"	"married"	0	2	"monthly"	"y"	1	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
32	54792	"m"	"married"	1	1	"monthly"	"y"	2	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
28	54671	"m"	"married"	0	2	"monthly"	"y"	1	0
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
33	54603	"f"	"married"	1	2	"monthly"	"y"	1	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
39	53731	"m"	"married"	0	2	"monthly"	"y"	2	1
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53559	"f"	"married"	1	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
33	53115	"f"	"married"	0	2	"monthly"	"y"	1	0
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
44	51724	"m"	"married"	1	1	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
31	51383	"f"	"married"	0	2	"monthly"	"y"	2	1
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
36	50799	"m"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
40	50621	"f"	"married"	1	2	"monthly"	"y"	1	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
45	50552	"m"	"married"	0	1	"monthly"	"y"	2	0
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
32	49745	"m"	"married"	0	1	"monthly"	"y"	2	1
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
39	49407	"m"	"married"	1	2	"monthly"	"y"	1	0
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
45	48607	"f"	"married"	1	2	"monthly"	"y"	2	1
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
37	48061	"f"	"married"	1	2	"monthly"	"y"	1	0
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
39	47161	"m"	"married"	1	2	"monthly"	"y"	1	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
29	47111	"m"	"married"	0	2	"monthly"	"y"	2	1
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	47026	"m"	"married"	1	2	"monthly"	"y"	1	0
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
35	46949	"f"	"married"	0	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
42	46501	"f"	"married"	1	2	"monthly"	"y"	1	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
38	46168	"f"	"married"	1	1	"monthly"	"y"	2	1
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
42	46119	"m"	"married"	1	1	"monthly"	"y"	2	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
40	45993	"f"	"married"	1	2	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
32	45813	"f"	"married"	1	1	"monthly"	"y"	1	0
39	45750	"f"	"married"	0	1	"monthly"	"y"	1	1
39	45750	"f"	"married"	0	1	"monthly"	"y"	1	1
39	45750	"f"	"married"	0	1	"monthly"	"y"	1	1
39	45750	"f"	"married"	0	1	"monthly"	"y"	1	1
39	45750	"f"	"married"	0	1	"monthly"	"y"	1	1
39	45750	"f"	"married"	0	1	"monthly"	"y"	1	1
39	45750	"f"	"married"	0	1	"monthly"	"y"	1	1
