edad,cant_vuelos,clase_preferida,gasto_acumulado,gasto_acumulado_extra,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio
35,5,1,3110.48,561.08,0,0,4996,22
43,12,0,4449.53,672.68,0,0,1270,10
56,23,0,4377.83,770.13,0,0,1551,6
35,4,0,1363.53,236.75,1,2301,2532,18
39,6,0,807.44,33.15,0,0,2899,2
41,17,0,3827.96,544.16,0,0,1064,41
41,21,0,7478.09,999.69,1,14638,1154,32
21,1,0,199.64,41.57,0,0,425,48
18,3,0,680.21,101.25,0,0,748,17
25,15,0,1732.04,251.34,0,0,1837,15
40,11,1,5326.6,813.63,0,0,6670,1
44,13,0,2227.57,160.16,0,0,2165,3
31,6,0,732.5,157.82,0,0,1046,23
54,18,0,4932.39,930.94,0,0,1308,16
36,11,0,2098.3,492.2,0,0,1342,1
38,4,0,1402.14,130.35,0,0,6671,14
35,20,0,6264.04,715.23,1,10919,3019,57
39,19,0,3747.68,767.63,0,0,1481,16
46,7,0,1635.86,115.24,0,0,2028,4
45,16,0,4499.4,285.35,0,0,3460,5
27,19,0,3989.21,345.05,0,0,2737,13
56,25,0,2349.31,451.18,0,0,3443,0
24,23,1,17436.06,2551.15,0,0,7234,2
38,1,0,220.93,34.98,0,0,2177,52
34,8,0,938.22,79.68,0,0,3803,12
25,46,0,4199.68,440.01,1,52567,6441,41
37,13,0,4958.18,520.19,1,12225,1241,53
29,3,0,763.78,108.79,0,0,2596,0
38,21,0,6479.83,1336.23,1,8551,1583,32
42,13,0,3617.05,685.05,1,15002,2983,17
55,19,0,3580.82,578.03,1,5523,1108,1
41,1,0,102.32,15.14,0,0,1101,3
33,6,1,3468.98,514.79,0,0,7321,4
39,22,0,3629.36,667.41,0,0,1911,28
39,10,1,3456.53,424.66,0,0,4871,9
55,21,0,4263,885.78,0,0,3061,0
54,10,0,2921.95,347.23,0,0,2756,2
33,4,0,1258.48,169.69,0,0,2160,5
31,19,0,1701.15,225.87,0,0,994,7
18,4,0,827.98,181.3,0,0,300,8
31,5,1,3942.72,404.02,0,0,7155,15
26,77,1,49131.53,5860.97,1,103851,3458,5
33,17,0,2575.99,194.9,0,0,1263,4
42,6,0,1418.77,159.33,0,0,1517,19
40,36,0,11608.39,837.47,0,0,2171,11
37,1,0,109.8,23.15,0,0,1974,17
36,22,0,6730.6,1329.55,0,0,1530,83
40,2,0,631.42,62.1,1,692,1404,0
18,2,0,180,30.61,0,0,364,4
34,24,0,6212.13,1403.51,0,0,1707,15
36,5,0,1877.3,286.29,0,0,3629,13
33,18,0,1974.05,326.01,0,0,2683,24
35,21,0,5118.34,1038.34,0,0,3030,16
46,9,1,3943.96,350.49,1,14281,3601,18
30,24,0,2459.84,143.92,0,0,989,3
64,5,0,1144.41,65.69,0,0,2618,12
46,62,1,18694.4,3831.14,0,0,7603,47
37,6,0,1333.35,214.29,0,0,1641,47
35,24,0,5857.6,694.09,1,10285,1777,54
36,1,1,717.85,155.29,0,0,6540,19
27,6,0,1629.84,131.91,0,0,2972,32
36,23,0,7013.46,816.95,0,0,1977,1
41,7,0,1591.28,354.21,0,0,1859,14
44,19,2,44365.51,8567.72,1,39691,13726,0
34,6,0,1098.09,164.43,1,4461,4346,11
21,13,0,4150.23,922.38,0,0,1605,40
29,53,0,7296.75,1501.51,0,0,6879,10
57,13,0,1647.45,106.14,1,7223,806,13
48,23,1,15222.22,3677.8,0,0,1477,33
42,37,1,12969.8,3106.24,0,0,3924,8
28,12,0,2042.74,343.54,0,0,2319,5
38,2,1,592.61,64.19,0,0,5230,18
22,3,0,857.95,51.26,0,0,580,23
31,3,0,811.99,101.76,0,0,2478,51
35,50,1,25885.32,3301.7,0,0,13053,1
33,21,0,7458.19,716.7,1,15286,1354,17
49,15,0,3090.28,314.74,0,0,1113,10
27,39,0,10963,1940.5,0,0,7051,3
21,13,0,1982.55,91.08,0,0,719,34
23,17,0,2123.08,485.69,0,0,3103,26
39,6,0,1192.11,128.35,0,0,3997,18
18,2,0,300.2,46.09,0,0,552,57
47,9,1,4118.65,328.23,0,0,3756,3
35,20,0,6111.52,589.66,0,0,2570,23
38,8,0,2087.1,457.19,0,0,1505,2
41,24,1,18436,2847.13,1,43254,3790,5
32,14,2,20179.08,2261.99,0,0,7056,13
50,59,0,7431.68,1159.75,1,39158,3970,3
35,99,1,44244.08,7476.8,0,0,9961,6
35,18,0,4526.39,822,1,16889,1645,23
41,11,0,2010.16,478.83,0,0,2976,2
41,41,2,43640.89,4949.67,0,0,7163,19
40,41,1,15943.36,3138.33,0,0,14237,9
26,21,0,7071.05,497.11,0,0,1835,42
43,14,0,1854.3,207.3,0,0,1789,19
34,14,0,2863.13,532.07,0,0,801,4
45,21,1,7838.09,1442.02,1,46004,4334,7
18,2,0,763.9,107.61,0,0,427,19
20,3,0,254.13,10.31,0,0,369,24
42,18,1,13902.65,2974.64,1,38449,8225,12
60,1,0,150.2,10.4,0,0,2754,17
48,41,1,13175.62,2533.93,1,81673,4541,10
29,21,1,7931.17,710.58,0,0,1030,33
18,5,1,1797.85,449.05,0,0,890,4
46,90,0,18306.74,2491.59,1,55364,1920,8
37,7,1,2684.84,422.32,0,0,5420,30
45,16,0,3753.67,159.35,0,0,1250,4
39,44,0,14904.58,744.66,0,0,4320,27
38,4,0,1267.17,277.39,0,0,1191,35
73,8,0,994.05,125.1,0,0,692,31
37,8,0,1591.39,171.88,0,0,2906,31
36,80,1,60191.09,5648.98,1,116423,3657,27
30,17,0,3825.65,695.55,0,0,3126,19
33,2,0,375,55.68,0,0,949,3
45,18,0,5647.8,1177.16,0,0,1446,44
41,11,0,2937.88,208.67,0,0,2398,9
52,19,0,4397.12,692.56,0,0,6805,6
43,37,0,9072.06,1070.83,0,0,4674,37
23,15,0,4434.71,760.17,1,12968,2055,16
22,2,0,574.91,27.04,0,0,300,27
54,16,0,2579.08,143.86,0,0,704,14
30,1,0,209.6,31.86,0,0,1364,16
22,1,0,201.55,49.66,0,0,300,79
29,20,1,5256.18,1037.93,0,0,2420,8
53,12,0,1812.64,175.62,0,0,1206,19
20,7,0,2666.81,450.86,0,0,606,42
27,23,0,5748.41,286.52,0,0,5437,0
29,12,0,4026.73,641.9,0,0,1253,27
22,2,0,154.21,32.31,0,0,429,5
23,3,0,420,99.86,0,0,326,52
19,1,0,177.17,41.33,0,0,328,20
33,4,1,2150.72,394.99,0,0,3621,2
29,23,0,7442.4,876.73,1,8276,8669,16
18,3,0,897.18,37.24,0,0,300,9
53,30,1,7883.53,745.74,0,0,3574,28
22,7,0,1568.49,343.54,0,0,423,35
41,8,0,2350.84,529.23,0,0,3101,45
25,10,0,2869.58,560.15,1,10910,3012,8
46,68,2,121355.09,11215.59,1,221921,5525,0
49,11,0,2791.66,510.52,1,3927,4115,30
27,61,1,28505,2319.05,0,0,5381,9
18,4,0,1170.33,186.23,0,0,479,13
46,7,0,665.04,115.7,0,0,1180,3
60,12,2,16219.57,1652.4,1,24996,10785,8
42,38,1,23899.85,3332.12,0,0,3655,14
39,42,0,7601.86,1665.25,0,0,2859,1
47,5,0,637.94,115.66,0,0,3289,12
47,29,0,5385.71,1143.4,1,17127,5990,9
28,11,1,3728.56,804.15,0,0,7518,28
30,21,0,3540.93,356.78,0,0,1114,49
45,21,0,6057.8,678.87,1,14876,4565,53
36,8,1,3149.11,583.26,0,0,6158,52
53,23,0,1968.37,228.89,0,0,3719,24
47,6,1,4590.86,444.33,0,0,1039,30
42,9,0,2984.48,314.82,0,0,3031,30
36,16,0,1896.4,356.28,0,0,2489,25
46,1,0,159.17,34.24,1,311,1166,98
25,8,1,3755.32,545.77,0,0,773,2
45,48,1,15304.77,1589.41,0,0,4632,0
54,15,0,3821.65,814.89,0,0,1091,10
36,10,0,818.51,80.19,0,0,1397,11
35,4,0,922.59,82.49,0,0,961,70
29,22,0,4279.87,983.52,0,0,1092,6
37,20,1,16028.33,2837.9,1,44925,12170,7
46,23,2,31669.51,1332.38,0,0,4467,41
28,23,1,5400.46,935.36,0,0,982,38
21,4,0,802.52,174.15,0,0,562,13
33,5,0,973.67,110.24,0,0,2183,14
21,3,0,647.51,129.42,0,0,377,8
44,11,0,1255.91,75.24,0,0,1474,0
32,19,0,3700.66,456.7,0,0,977,2
18,4,1,1318.95,221.27,0,0,334,55
33,20,0,4193.27,943.46,0,0,1515,3
35,22,1,11967.61,1958.87,0,0,3758,14
43,15,1,5874.55,1459.41,0,0,2913,9
36,2,0,479.12,46.19,0,0,1241,10
60,14,0,3456.03,796.75,1,8068,1919,4
31,4,0,1571.66,192.78,0,0,1112,18
37,8,1,3573.09,460.08,0,0,5255,1
36,17,0,1231.46,64.08,0,0,1010,20
34,7,0,1797.01,297.06,1,3175,2091,46
39,56,0,15957.7,2217.71,0,0,6186,13
44,4,0,915.51,128.14,1,1274,5207,39
54,23,0,6108.94,1345.92,0,0,6761,17
19,21,0,4578.66,1105.16,0,0,618,4
31,22,0,4307.61,759.12,0,0,1299,25
32,19,0,1570.53,183.17,0,0,3322,22
49,17,1,10312.97,2211.58,0,0,2583,4
18,2,0,520.25,114.59,0,0,445,11
39,44,0,9414.5,1240.98,0,0,2222,0
37,22,0,6312.48,927.85,0,0,1205,8
40,12,0,2843.17,158.12,0,0,960,22
25,2,0,605.59,137.67,0,0,1976,1
58,9,0,2375.94,512.6,0,0,1970,47
35,18,0,4726.96,509.35,0,0,1338,6
27,21,1,6021.4,1333.05,1,35381,1194,25
26,21,0,5607.64,567.22,0,0,996,10
23,1,0,316.1,71.54,0,0,556,12
33,13,0,3750.95,557.7,0,0,2712,15
26,13,0,3725.97,296.6,0,0,646,2
62,5,0,1889.4,107.03,1,2316,1936,23
18,7,0,1848.12,273.66,0,0,538,10
24,68,0,12460.24,1566.24,0,0,4525,5
33,2,1,1438.75,129.21,0,0,8512,15
46,10,0,952.07,165.26,0,0,1998,26
33,19,0,4568.71,940.66,1,16648,3565,1
46,15,0,3755.38,178.87,0,0,5045,21
26,13,0,2360.01,178.21,0,0,946,33
38,22,0,3135.26,164.88,1,19722,23362,16
58,22,1,10445.81,2394.59,1,23134,2734,35
26,19,0,5650.65,603.97,0,0,697,4
43,53,2,103989.19,4186.96,0,0,4486,30
40,11,0,2798.79,446.43,0,0,1822,20
18,2,0,508.85,109.59,0,0,373,19
30,4,0,628.63,136.36,0,0,4694,40
51,22,0,3634.74,555.23,0,0,3342,3
39,9,0,1520.26,104.65,0,0,1989,1
23,2,0,394.43,68.82,0,0,393,2
46,19,0,5391.79,613.86,0,0,1759,38
32,2,0,251.88,46.18,0,0,1051,14
42,1,0,305.75,47.31,1,1127,4615,21
42,9,0,2872.6,399.43,1,3745,1043,25
24,14,0,3550.74,553.87,1,5224,3180,10
47,21,0,6588.99,711.07,1,17650,4599,18
25,14,0,3168.34,652.72,0,0,1073,0
22,5,0,1341.51,287.6,0,0,346,46
27,4,0,932.6,159.36,0,0,2338,58
33,68,0,9322.47,1795.24,0,0,3451,17
39,20,0,5110.78,414.92,0,0,2647,7
28,9,0,1409.12,278.54,1,4630,1154,1
46,7,0,641.28,124.35,0,0,1274,74
41,3,1,1524.89,140.61,0,0,1963,8
29,21,1,6613.8,341.45,0,0,9564,21
48,17,0,3969.62,987.08,0,0,2907,15
51,18,0,3671.15,611.86,0,0,1565,14
36,46,1,13380.57,1360.13,0,0,11019,9
35,65,1,26784.92,2778.99,1,83390,5173,5
18,3,0,570.12,81.94,1,1476,528,50
33,8,0,1140.46,200.34,0,0,876,9
34,66,0,19687.11,1054.86,0,0,54831,2
40,1,0,288.55,30.06,0,0,723,7
35,19,0,6152.95,365.39,0,0,766,20
40,16,1,9926.36,1372.06,0,0,4558,29
56,24,0,6115.38,634.38,0,0,3024,2
31,4,0,675.04,140.42,0,0,649,5
32,18,0,1855.94,205.83,0,0,2856,7
22,2,0,177.63,29.2,0,0,1599,40
37,21,1,19069.19,4045.68,0,0,5238,0
49,10,0,3178.63,232.06,1,8609,1583,21
18,6,0,2053.37,471.97,1,1743,411,35
30,14,0,1388.73,303.48,0,0,1977,31
38,6,0,1188.5,240.87,0,0,1462,14
48,9,0,2530.42,286.2,0,0,2406,75
42,19,0,4075.34,252.76,0,0,2306,20
35,24,0,3762.21,186.08,0,0,1957,22
43,2,0,458.85,48.7,0,0,714,23
50,13,1,3040.53,549,1,14040,1362,21
18,2,0,279.57,33.86,0,0,300,4
46,31,0,10692.66,915.35,1,13045,3454,14
36,67,0,16894.66,1957.1,1,54250,1555,2
31,11,2,26526.89,4591.32,0,0,5042,8
18,4,0,816.41,185.65,0,0,409,26
21,4,0,608.74,38.71,0,0,365,24
58,1,0,272.15,58.81,0,0,1996,22
29,89,1,47494.55,7998.08,1,99639,6319,11
24,1,0,369.1,29.95,0,0,1049,8
32,12,0,2663.45,328.39,0,0,897,9
29,17,0,3205.47,421.72,0,0,1825,1
39,18,0,4316.38,788.29,1,5060,1982,20
56,21,0,3849.35,906.92,0,0,4484,3
30,11,0,2423.06,101.38,0,0,864,37
39,11,1,4022.14,676.79,0,0,1168,12
24,7,0,1289.22,119.06,0,0,3917,8
25,15,1,9082.72,2210.14,0,0,4146,1
48,12,0,3177.24,454.59,0,0,1531,7
52,3,0,328.67,36.3,0,0,1118,9
39,15,1,9379.27,2302.49,0,0,1353,16
18,3,0,708.13,107.94,0,0,1013,6
59,13,0,3686.01,399.55,1,6075,1770,6
41,18,0,5164.15,1105.77,0,0,2454,4
52,2,0,248.68,40.35,0,0,4591,14
31,22,0,6030.42,323.85,0,0,1274,5
33,17,1,6196.44,292.52,1,28795,811,1
39,16,0,3327.5,138.25,0,0,2142,3
51,4,0,351.82,64.89,0,0,1274,42
39,22,0,6642.35,1603.28,0,0,1684,6
22,6,0,1954.09,99.89,1,3918,312,156
57,35,0,2646.03,625.87,0,0,3173,5
38,24,1,8787.08,1431.61,0,0,2126,28
39,5,1,1966.13,209.69,1,8793,4951,14
22,4,1,1972.64,345.4,0,0,300,8
21,6,0,1310.27,291.25,0,0,300,10
30,13,0,3978.4,529.42,0,0,1177,11
34,16,0,4080.26,539.72,0,0,1464,48
39,15,0,1516.01,229.65,0,0,2608,21
39,18,0,4842.37,680.06,1,6449,3226,79
57,26,0,7779.4,730.62,0,0,3034,0
38,6,0,781.41,138.96,0,0,5351,4
50,15,0,3280.08,439.45,0,0,1547,0
37,13,1,8604.1,941.46,1,22304,5968,8
55,31,1,8745.26,1416.47,1,34936,10983,0
18,3,0,728.7,165.94,0,0,2458,3
30,4,0,1192.51,82.9,0,0,2049,34
49,2,1,598.54,134.89,0,0,5793,14
35,13,0,2118.68,458.45,1,9305,1237,46
49,9,0,1295.06,195.91,0,0,1565,3
42,52,1,16966.04,1650.3,0,0,5670,14
49,79,0,28910.03,6089.2,0,0,2134,8
45,11,1,4052.72,374.01,0,0,2988,5
46,21,0,4718.04,832.09,1,18005,998,36
55,5,0,1281.61,216.23,0,0,6243,6
49,12,0,1753.63,171.86,0,0,1504,23
38,2,0,169.67,20.4,0,0,1686,5
31,14,1,4976.68,1190.54,0,0,5532,36
30,11,1,2668.17,567.71,0,0,4683,9
47,24,1,14889.18,2763.45,1,50142,6972,21
18,5,0,794.74,182.29,1,1533,1673,12
22,6,0,1229.01,173.54,1,4752,2048,25
26,9,1,2664.46,297.59,0,0,6298,2
35,5,1,2212.86,254.12,0,0,3878,6
18,3,0,1098.73,228.07,0,0,1751,28
53,24,0,4371.48,923.36,1,14432,730,14
45,3,0,567.18,122.71,0,0,2939,1
61,21,1,12217.02,1214.14,0,0,4048,30
50,15,2,18505.34,2130.72,0,0,10257,31
50,11,0,1293.28,68.29,0,0,1652,24
65,2,0,259.49,20.1,1,907,1489,1
31,19,0,5787.6,576.86,0,0,1082,11
19,4,0,1331.81,218.03,1,2098,635,59
35,68,0,6850.39,838.53,1,55467,4729,0
28,15,0,4628.74,345.72,0,0,2466,3
34,6,0,1545.19,272.96,0,0,1868,7
25,1,0,183.81,11.78,0,0,2226,65
44,56,2,48307.4,6743.77,0,0,7675,1
37,22,1,7943.53,485.61,1,35540,2039,9
41,6,1,4320.64,945.33,0,0,6747,41
36,14,0,5241.11,1041.06,0,0,1668,0
47,38,0,5327.24,1229.19,0,0,3342,4
38,5,1,2927.77,629.35,0,0,1042,0
34,24,0,5960.25,613.07,0,0,1645,1
49,23,0,6604.07,1469.15,0,0,863,21
53,3,0,813.62,77.05,0,0,2613,22
54,87,0,19849.66,1285.81,1,46048,1293,3
31,27,0,8218.25,859.77,0,0,11958,34
18,2,1,809.36,175.43,0,0,559,46
35,8,0,2546.53,603.58,1,6664,1171,0
42,12,0,3629.71,890.02,0,0,4432,9
36,60,2,102484.04,7264.8,1,157950,10812,18
61,16,1,12361.24,1985.4,0,0,750,9
33,6,0,1462.36,310.49,1,3327,2943,31
24,10,0,1672.27,111.62,1,6284,22333,39
44,21,0,3071.8,233.86,0,0,1171,14
39,4,0,543.57,93.7,0,0,1818,20
44,19,0,3951.79,595.36,0,0,3843,11
41,1,0,189.74,20.17,1,405,1305,1
40,5,1,2184.1,436.74,0,0,1192,6
18,7,0,629.79,37.4,0,0,2088,28
29,22,0,5600.31,575.59,0,0,998,20
30,9,1,6606.18,967.51,1,17367,2974,13
33,7,0,2518.95,231.56,0,0,945,19
32,6,2,16782.8,3847.98,0,0,3539,5
42,20,0,1919.97,343,1,7282,1568,18
45,23,0,3714.34,622.54,1,8180,2214,22
24,18,1,5820.55,423.82,0,0,5259,8
46,7,0,1865.11,453.24,1,5374,1707,28
45,24,0,7387.47,1498.35,1,21283,2150,30
43,24,1,13351.81,1078.25,0,0,2245,28
20,4,0,1146.52,190.53,0,0,307,119
43,21,1,17027.14,879.75,1,36769,3864,1
38,19,1,13138.85,3267.5,0,0,9295,24
49,6,0,1295.44,52.26,0,0,794,43
59,47,0,6742.88,1539.79,0,0,2538,0
57,9,0,1139.54,225.77,0,0,950,4
39,7,1,3604.14,758.05,0,0,4038,27
37,19,0,3471.89,281.65,0,0,2652,54
45,15,0,4507.12,654.17,1,5875,1363,78
24,6,0,477.55,25.56,0,0,2954,4
20,5,0,1456.61,161.75,0,0,300,44
32,1,1,332.59,49,0,0,5020,22
52,13,0,1845.95,99.68,0,0,2612,15
34,1,0,334.35,72.99,0,0,2376,51
56,10,0,3029.37,283.37,0,0,2362,29
18,15,0,3893.29,965.84,0,0,1007,21
18,4,0,1153.3,244.24,1,1768,867,22
36,29,1,18186.79,1712.02,0,0,5406,10
48,20,0,1992.62,415.97,0,0,1313,0
37,74,1,30990.96,3984.52,0,0,2722,8
36,14,1,6863.99,1413.09,0,0,2162,5
36,4,1,2740.45,679.7,0,0,3817,11
18,20,0,2753.47,559.37,0,0,1793,37
51,12,0,3438.52,783.45,0,0,3437,13
29,3,0,883.86,84.71,0,0,1008,10
51,38,1,28383.69,5053.71,0,0,4975,7
37,10,0,946.16,196.37,0,0,2426,7
50,7,0,603.25,48.44,1,3132,2893,0
42,11,0,1084.2,59.22,0,0,1058,1
36,8,0,2607.68,255.85,0,0,706,0
40,22,0,3238.71,304.27,0,0,3813,7
58,22,0,5630.58,399.21,0,0,1387,48
53,19,0,3959.68,431.71,0,0,5285,11
26,17,0,1718.98,340.33,0,0,1530,43
44,3,1,1544.55,368.36,0,0,2535,86
40,27,1,21467.15,4650.98,0,0,15657,5
47,22,0,6008.46,592.6,0,0,1723,57
39,20,0,2172.46,392.51,0,0,1995,3
35,20,1,7677.56,1242.09,0,0,3809,36
53,58,0,8187.65,730.93,0,0,4355,32
40,18,0,5546.65,651.82,1,7390,1198,15
53,80,0,21014.99,1401.26,1,55000,870,48
49,20,1,16146.21,777.67,0,0,7950,0
34,18,0,5301.67,1026.79,0,0,909,5
35,20,0,1927.36,104.15,0,0,1119,10
61,6,0,1423.65,352.34,0,0,1538,8
40,12,0,3893.94,495.52,0,0,1191,48
28,24,0,2681.59,204.86,1,20620,4005,0
23,20,0,4774.35,869.79,0,0,1260,2
49,9,0,1388.75,176.23,0,0,834,47
39,10,0,2821.19,556.24,1,9564,831,5
28,6,0,871.24,136.63,1,2161,3254,0
46,22,0,3216.8,619.98,0,0,940,72
39,12,0,3871,358,1,6949,2082,32
45,24,0,6726.91,1398.22,0,0,1339,12
53,5,0,1723.02,354.34,0,0,2098,23
68,11,1,7160.43,1668.67,1,15779,1122,23
38,5,0,1236.47,60.73,0,0,1772,36
40,21,0,6513.17,811.03,0,0,1047,19
57,11,1,8034.93,1270.48,0,0,782,6
40,14,0,2257.01,184.59,0,0,2274,41
30,28,1,15233,1958.8,1,44329,4857,4
48,13,0,2326.46,483.68,0,0,2170,22
22,6,0,1190.2,294.45,0,0,565,80
51,12,1,5856.35,1096.59,0,0,1641,33
28,14,0,4218.02,615.32,0,0,1855,21
41,1,0,183.97,21.48,1,329,850,2
