id_vuelo;aeropuerto_origen;aeropuerto_destino;hora_salida_programada;dia_semana;distancia_vuelo;condiciones_climaticas;congestion_aerea;congestion_aerea_num;tipo_avion;ocupacion_vuelo;temporada_alta;temporada_alta_bin;puerta_embarque;visibilidad;tiempo_estimado_vuelo;horas_sp;minutos_sp;tipo;demora;PRE_1;demora_predicha;filter_$;comprobacion
10026;GRU;MIA;8:45:00 a. m.;Jueves;7520;Nublado;Media;1,00;Boeing 787;64,4;FALSO;0,00;23;22,6;599;8;45;1;0,00;0,24248;0,00;0;1,00
10027;GRU;SCL;7:15:00 a. m.;Domingo;2620;Despejado;Baja;0,00;Airbus A320neo;55,2;VERDADERO;1,00;39;28,8;231;7;15;1;0,00;0,23087;0,00;0;1,00
10028;TUC;EZE;6:45:00 a. m.;Domingo;1230;Nublado;Alta;2,00;Boeing 757;75,7;FALSO;0,00;33;14,6;123;6;45;1;0,00;0,33924;1,00;0;0,00
10029;GIG;GRU;9:00:00 a. m.;Sabado;360;Despejado;Baja;0,00;Airbus A320;73,0;FALSO;0,00;10;7,5;62;9;0;1;0,00;0,15168;0,00;0;1,00
10030;BAQ;BOG;8:15:00 a. m.;Viernes;145;Tormenta;Media;1,00;Embraer E190;60,4;FALSO;0,00;47;1,7;54;8;15;1;0,00;0,60741;1,00;0;0,00
10034;BOG;PTY;7:00:00 a. m.;Lunes;650;Nublado;Baja;0,00;Embraer E190;85,2;FALSO;0,00;14;5,9;78;7;0;1;0,00;0,14076;0,00;0;1,00
10037;POA;GRU;7:15:00 a. m.;Miercoles;1110;Despejado;Media;1,00;Boeing 737 MAX;81,9;FALSO;0,00;37;14,1;104;7;15;1;0,00;0,24000;0,00;0;1,00
10038;BAQ;MDE;7:15:00 a. m.;Miercoles;310;Nublado;Baja;0,00;Embraer E190;85,8;VERDADERO;1,00;39;17,4;63;7;15;1;0,00;0,21064;0,00;0;1,00
10040;BOG;MEX;8:45:00 a. m.;Martes;2700;Despejado;Baja;0,00;Boeing 757;74,7;FALSO;0,00;38;17,1;223;8;45;1;0,00;0,15919;0,00;0;1,00
10045;MDE;CLO;11:00:00 a. m.;Martes;265;Despejado;Media;1,00;Airbus A320;94,5;FALSO;0,00;20;16,9;59;11;0;1;0,00;0,23973;0,00;0;1,00
10049;LIM;BOG;6:30:00 a. m.;Domingo;1890;Despejado;Media;1,00;Boeing 757;60,3;VERDADERO;1,00;31;11,7;180;6;30;1;0,00;0,33831;1,00;0;0,00
10053;CLO;BOG;8:00:00 a. m.;Lunes;300;Tormenta;Baja;0,00;Airbus A320;91,9;VERDADERO;1,00;8;2,6;61;8;0;1;0,00;0,58632;1,00;0;0,00
10054;CCS;BOG;8:30:00 a. m.;Martes;1010;Nublado;Baja;0,00;Airbus A320neo;93,5;VERDADERO;1,00;18;20,4;98;8;30;1;0,00;0,21439;0,00;0;1,00
10056;BSB;GRU;9:00:00 a. m.;Sabado;870;Despejado;Baja;0,00;Airbus A320neo;71,2;FALSO;0,00;8;29,2;105;9;0;1;0,00;0,15525;0,00;0;1,00
10061;PEI;BOG;5:45:00 a. m.;Jueves;265;Nublado;Media;1,00;ATR 72;74,9;FALSO;0,00;19;12,9;46;5;45;1;0,00;0,22552;0,00;0;1,00
10063;BAQ;BOG;8:15:00 a. m.;Lunes;145;Lluvia;Alta;2,00;ATR 72;86,4;FALSO;0,00;49;28,4;32;8;15;1;0,00;0,47319;1,00;0;0,00
10064;PTY;BOG;8:15:00 a. m.;Jueves;650;Tormenta;Baja;0,00;Embraer E190;71,4;FALSO;0,00;15;1,3;91;8;15;1;0,00;0,47231;1,00;0;0,00
10065;MDE;MIA;5:45:00 a. m.;Martes;2750;Nublado;Alta;2,00;Embraer E195;90,5;VERDADERO;1,00;31;6,2;255;5;45;1;0,00;0,45210;1,00;0;0,00
10066;EZE;SCL;9:00:00 a. m.;Viernes;1140;Lluvia;Media;1,00;Boeing 757;62,0;VERDADERO;1,00;8;11,6;118;9;0;1;0,00;0,44987;1,00;0;0,00
10067;SJO;PTY;7:15:00 a. m.;Lunes;580;Despejado;Media;1,00;Airbus A320;66,6;FALSO;0,00;1;5,7;86;7;15;1;0,00;0,23744;0,00;0;1,00
10068;NQN;EZE;7:15:00 a. m.;Lunes;1150;Lluvia;Alta;2,00;Boeing 737 MAX;29,7;FALSO;0,00;40;7,9;115;7;15;1;0,00;0,46970;1,00;0;0,00
10072;MDE;BAQ;7:45:00 a. m.;Viernes;310;Despejado;Media;1,00;Boeing 737;78,1;FALSO;0,00;23;29,5;51;7;45;1;0,00;0,24464;0,00;0;1,00
10074;PTY;LIM;8:45:00 a. m.;Martes;2970;Nublado;Baja;0,00;Embraer E195;82,3;FALSO;0,00;44;27,7;263;8;45;1;0,00;0,15022;0,00;0;1,00
10077;BOG;CTG;10:15:00 a. m.;Miercoles;135;Despejado;Media;1,00;ATR 72;98,6;FALSO;0,00;49;14,0;32;10;15;1;0,00;0,23996;0,00;0;1,00
10078;EZE;MDZ;5:45:00 a. m.;Viernes;1040;Nublado;Media;1,00;Embraer E195;62,4;VERDADERO;1,00;33;5,5;106;5;45;1;0,00;0,31808;0,00;0;1,00
10079;COR;EZE;4:45:00 a. m.;Miercoles;695;Lluvia;Baja;0,00;Airbus A320;79,3;FALSO;0,00;18;24,3;99;4;45;1;0,00;0,23048;0,00;0;1,00
10082;PTY;MIA;4:15:00 a. m.;Miercoles;2200;Nublado;Media;1,00;Airbus A320neo;94,4;VERDADERO;1,00;3;21,6;189;4;15;1;0,00;0,31970;0,00;0;1,00
10084;GRU;CWB;7:45:00 a. m.;Martes;410;Tormenta;Media;1,00;ATR 72;77,3;VERDADERO;1,00;18;1,2;79;7;45;1;0,00;0,71582;1,00;0;0,00
10085;MDE;PEI;10:45:00 a. m.;Miercoles;140;Nublado;Media;1,00;ATR 72;93,6;VERDADERO;1,00;38;6,7;43;10;45;1;0,00;0,31993;0,00;0;1,00
10087;GRU;SCL;7:30:00 a. m.;Martes;2620;Despejado;Media;1,00;Boeing 737 MAX;74,3;FALSO;0,00;36;5,5;242;7;30;1;0,00;0,24285;0,00;0;1,00
10094;SJO;PTY;9:45:00 a. m.;Sabado;580;Tormenta;Alta;2,00;ATR 72;77,7;FALSO;0,00;14;0,9;78;9;45;1;0,00;0,73365;1,00;0;0,00
10096;PTY;MIA;8:15:00 a. m.;Viernes;2200;Nublado;Baja;0,00;Airbus A320neo;63,7;FALSO;0,00;15;25,4;209;8;15;1;0,00;0,14668;0,00;0;1,00
10097;COR;EZE;9:15:00 a. m.;Viernes;695;Lluvia;Alta;2,00;Boeing 737;90,3;FALSO;0,00;47;29,5;83;9;15;1;0,00;0,47571;1,00;0;0,00
10098;GRU;FLN;9:15:00 a. m.;Lunes;690;Despejado;Media;1,00;ATR 72;83,5;FALSO;0,00;27;10,5;89;9;15;1;0,00;0,23974;0,00;0;1,00
10099;NQN;EZE;8:00:00 a. m.;Domingo;1150;Nublado;Alta;2,00;Boeing 737 MAX;68,0;FALSO;0,00;48;10,1;108;8;0;1;0,00;0,33358;1,00;0;0,00
10101;BOG;LIM;8:45:00 a. m.;Viernes;1890;Despejado;Baja;0,00;Boeing 757;75,3;VERDADERO;1,00;23;11,7;167;8;45;1;0,00;0,23015;0,00;0;1,00
10106;BOG;PEI;6:15:00 a. m.;Viernes;265;Despejado;Media;1,00;ATR 72;50,5;FALSO;0,00;40;14,2;68;6;15;1;0,00;0,23783;0,00;0;1,00
10107;MIA;MDE;8:00:00 a. m.;Miercoles;2750;Despejado;Alta;2,00;Boeing 737 MAX;94,7;FALSO;0,00;7;20,7;244;8;0;1;0,00;0,35836;1,00;0;0,00
10109;JFK;MDE;7:45:00 a. m.;Jueves;3560;Nublado;Media;1,00;Airbus A350;78,3;VERDADERO;1,00;26;8,6;295;7;45;1;0,00;0,32589;0,00;0;1,00
10110;GRU;CWB;10:00:00 a. m.;Miercoles;410;Despejado;Alta;2,00;ATR 72;86,0;FALSO;0,00;5;17,0;72;10;0;1;0,00;0,35348;1,00;0;0,00
10111;SSA;GRU;9:45:00 a. m.;Miercoles;1940;Despejado;Baja;0,00;Boeing 757;58,1;FALSO;0,00;20;26,6;183;9;45;1;0,00;0,15989;0,00;0;1,00
10112;LIM;GRU;7:15:00 a. m.;Miercoles;3620;Lluvia;Baja;0,00;Boeing 777;44,4;VERDADERO;1,00;20;27,9;299;7;15;1;0,00;0,32987;1,00;0;0,00
10115;GRU;MAD;7:15:00 a. m.;Viernes;9350;Nublado;Media;1,00;Boeing 787;70,6;FALSO;0,00;4;9,0;737;7;15;1;0,00;0,23954;0,00;0;1,00
10118;BOG;UIO;8:00:00 a. m.;Viernes;730;Despejado;Baja;0,00;ATR 72;77,0;FALSO;0,00;37;8,1;84;8;0;1;0,00;0,15182;0,00;0;1,00
10121;MDE;CTG;7:45:00 a. m.;Domingo;365;Despejado;Media;1,00;Embraer E190;58,0;VERDADERO;1,00;6;8,2;73;7;45;1;0,00;0,33671;1,00;0;0,00
10123;GIG;GRU;6:45:00 a. m.;Jueves;360;Despejado;Media;1,00;Airbus A320;83,0;FALSO;0,00;3;8,1;59;6;45;1;0,00;0,24009;0,00;0;1,00
10129;CLT;PTY;6:00:00 a. m.;Martes;2890;Despejado;Baja;0,00;Boeing 757;23,4;VERDADERO;1,00;32;17,8;253;6;0;1;0,00;0,22722;0,00;0;1,00
10130;CWB;GRU;8:30:00 a. m.;Domingo;410;Nublado;Media;1,00;ATR 72;54,3;FALSO;0,00;49;9,7;60;8;30;1;0,00;0,22540;0,00;0;1,00
10132;EZE;MDZ;6:45:00 a. m.;Viernes;1040;Lluvia;Media;1,00;Boeing 737 MAX;60,1;VERDADERO;1,00;3;27,7;113;6;45;1;0,00;0,45783;1,00;0;0,00
10133;CLO;BOG;9:30:00 a. m.;Viernes;300;Nublado;Baja;0,00;ATR 72;74,9;FALSO;0,00;37;16,5;50;9;30;1;0,00;0,14462;0,00;0;1,00
10134;MDE;CLO;8:30:00 a. m.;Jueves;265;Despejado;Alta;2,00;Boeing 737;39,1;FALSO;0,00;9;24,8;59;8;30;1;0,00;0,35751;1,00;0;0,00
10137;POA;GRU;5:15:00 a. m.;Sabado;1110;Despejado;Media;1,00;Boeing 757;94,8;VERDADERO;1,00;35;5,4;130;5;15;1;0,00;0,33237;1,00;0;0,00
10139;GRU;CDG;7:45:00 a. m.;Martes;9400;Despejado;Media;1,00;Boeing 777;69,0;VERDADERO;1,00;32;11,0;745;7;45;1;0,00;0,35848;1,00;0;0,00
10141;SCL;EZE;9:45:00 a. m.;Viernes;1140;Nublado;Media;1,00;Embraer E195;88,6;VERDADERO;1,00;35;29,2;134;9;45;1;0,00;0,32651;0,00;0;1,00
10142;GRU;BSB;9:45:00 a. m.;Lunes;870;Despejado;Baja;0,00;Boeing 757;52,9;FALSO;0,00;35;5,1;113;9;45;1;0,00;0,15549;0,00;0;1,00
10143;MDE;PEI;7:15:00 a. m.;Lunes;140;Niebla;Media;1,00;Boeing 737;61,5;VERDADERO;1,00;45;0,5;42;7;15;1;0,00;0,55380;1,00;0;0,00
10144;CTG;BOG;6:30:00 a. m.;Domingo;135;Despejado;Alta;2,00;Boeing 737;77,4;FALSO;0,00;26;20,8;44;6;30;1;0,00;0,35475;1,00;0;0,00
10146;PTY;SJO;7:00:00 a. m.;Miercoles;580;Despejado;Media;1,00;ATR 72;42,3;VERDADERO;1,00;18;15,5;73;7;0;1;0,00;0,33296;1,00;0;0,00
10152;UIO;PTY;8:15:00 a. m.;Jueves;1420;Tormenta;Media;1,00;Embraer E195;81,0;FALSO;0,00;20;4,7;128;8;15;1;0,00;0,61127;1,00;0;0,00
10155;PEI;BOG;9:00:00 a. m.;Lunes;265;Despejado;Baja;0,00;Embraer E190;57,6;VERDADERO;1,00;10;19,4;47;9;0;1;0,00;0,22452;0,00;0;1,00
10156;EZE;MVD;7:15:00 a. m.;Viernes;210;Nublado;Baja;0,00;Embraer E190;76,6;VERDADERO;1,00;2;24,2;36;7;15;1;0,00;0,21163;0,00;0;1,00
10157;PEI;BOG;5:45:00 a. m.;Viernes;265;Despejado;Baja;0,00;Airbus A320;32,6;VERDADERO;1,00;46;7,6;44;5;45;1;0,00;0,22473;0,00;0;1,00
10159;PTY;MIA;10:45:00 a. m.;Sabado;2200;Nublado;Baja;0,00;Boeing 737 MAX;67,2;FALSO;0,00;21;6,4;202;10;45;1;0,00;0,14729;0,00;0;1,00
10160;MEX;GRU;7:00:00 a. m.;Viernes;7300;Despejado;Media;1,00;Boeing 777;66,9;FALSO;0,00;24;25,9;571;7;0;1;0,00;0,25244;0,00;0;1,00
10161;MEX;GRU;8:30:00 a. m.;Viernes;7300;Despejado;Baja;0,00;Airbus A350;91,9;FALSO;0,00;11;17,1;590;8;30;1;0,00;0,16441;0,00;0;1,00
10162;PTY;MDE;7:15:00 a. m.;Lunes;715;Nublado;Alta;2,00;Embraer E190;67,4;VERDADERO;1,00;41;20,2;73;7;15;1;0,00;0,44772;1,00;0;0,00
10163;CTG;BOG;6:45:00 a. m.;Miercoles;135;Despejado;Baja;0,00;Embraer E190;79,1;VERDADERO;1,00;1;17,3;40;6;45;1;0,00;0,22681;0,00;0;1,00
10166;PTY;IAH;5:15:00 a. m.;Sabado;2860;Despejado;Baja;0,00;Boeing 757;78,8;FALSO;0,00;5;13,8;246;5;15;1;0,00;0,15529;0,00;0;1,00
10171;PTY;SJO;9:45:00 a. m.;Jueves;580;Despejado;Media;1,00;Boeing 737;83,8;FALSO;0,00;4;28,7;73;9;45;1;0,00;0,24623;0,00;0;1,00
10172;EZE;MAD;7:45:00 a. m.;Miercoles;10050;Despejado;Baja;0,00;Boeing 777;62,5;VERDADERO;1,00;18;7,5;786;7;45;1;0,00;0,24398;0,00;0;1,00
10173;MDE;CLO;8:15:00 a. m.;Lunes;265;Despejado;Baja;0,00;Embraer E190;87,8;FALSO;0,00;11;10,4;56;8;15;1;0,00;0,15265;0,00;0;1,00
10175;CTG;MDE;8:30:00 a. m.;Jueves;365;Despejado;Media;1,00;Boeing 737;50,4;VERDADERO;1,00;29;8,2;59;8;30;1;0,00;0,33548;1,00;0;0,00
10176;MVD;EZE;10:45:00 a. m.;Jueves;210;Despejado;Media;1,00;Embraer E190;72,5;FALSO;0,00;47;15,8;43;10;45;1;0,00;0,24368;0,00;0;1,00
10178;ASU;EZE;4:00:00 a. m.;Lunes;1050;Despejado;Media;1,00;Embraer E195;82,1;FALSO;0,00;25;7,4;124;4;0;1;0,00;0,23524;0,00;0;1,00
10180;POA;GRU;8:45:00 a. m.;Martes;1110;Niebla;Alta;2,00;Embraer E195;92,7;VERDADERO;1,00;34;1,7;114;8;45;1;0,00;0,69005;1,00;0;0,00
10184;PTY;IAH;7:30:00 a. m.;Martes;2860;Despejado;Media;1,00;Embraer E195;47,4;FALSO;0,00;45;28,2;255;7;30;1;0,00;0,24762;0,00;0;1,00
10185;BOG;MIA;9:00:00 a. m.;Martes;3160;Nublado;Media;1,00;Airbus A350;91,5;FALSO;0,00;19;14,2;257;9;0;1;0,00;0,22866;0,00;0;1,00
10187;EZE;AEP;8:45:00 a. m.;Jueves;35;Despejado;Baja;0,00;Boeing 737;92,3;FALSO;0,00;21;5,9;47;8;45;1;0,00;0,15404;0,00;0;1,00
10188;BOG;CTG;6:00:00 a. m.;Jueves;135;Despejado;Baja;0,00;Embraer E190;89,4;VERDADERO;1,00;38;26,2;41;6;0;1;0,00;0,22377;0,00;0;1,00
10189;MDE;PEI;8:45:00 a. m.;Lunes;140;Niebla;Alta;2,00;Airbus A320;67,3;FALSO;0,00;6;1,6;57;8;45;1;0,00;0,57920;1,00;0;0,00
10191;EZE;ROS;9:15:00 a. m.;Martes;295;Despejado;Baja;0,00;Airbus A320;71,8;VERDADERO;1,00;9;23,3;61;9;15;1;0,00;0,22682;0,00;0;1,00
10192;MEX;PTY;8:30:00 a. m.;Viernes;2280;Nublado;Baja;0,00;Boeing 757;87,0;FALSO;0,00;28;24,4;195;8;30;1;0,00;0,14777;0,00;0;1,00
10193;MVD;GRU;8:00:00 a. m.;Lunes;1550;Despejado;Alta;2,00;Boeing 737 MAX;84,9;FALSO;0,00;47;21,6;157;8;0;1;0,00;0,35574;1,00;0;0,00
10195;AEP;EZE;5:30:00 a. m.;Miercoles;35;Lluvia;Baja;0,00;Airbus A320;81,6;FALSO;0,00;38;12,4;28;5;30;1;0,00;0,22615;0,00;0;1,00
10196;BOG;BGA;8:00:00 a. m.;Martes;310;Lluvia;Baja;0,00;Airbus A320;56,0;VERDADERO;1,00;9;15,3;51;8;0;1;0,00;0,31835;0,00;0;1,00
10198;GUA;PTY;7:15:00 a. m.;Viernes;820;Despejado;Baja;0,00;Boeing 757;91,7;VERDADERO;1,00;30;20,7;106;7;15;1;0,00;0,22614;0,00;0;1,00
10199;MIA;BOG;12:45:00 p. m.;Sabado;3160;Niebla;Baja;0,00;Airbus A350;46,3;FALSO;0,00;27;2,9;286;12;45;1;0,00;0,32323;0,00;0;1,00
10200;MVD;EZE;8:00:00 a. m.;Sabado;210;Nublado;Baja;0,00;Embraer E190;69,8;FALSO;0,00;20;6,3;35;8;0;1;0,00;0,14066;0,00;0;1,00
10205;PTY;MDE;8:00:00 a. m.;Domingo;715;Despejado;Alta;2,00;Airbus A320;92,6;VERDADERO;1,00;33;9,5;85;8;0;1;0,00;0,46402;1,00;0;0,00
10210;EZE;GIG;8:30:00 a. m.;Viernes;1970;Nublado;Alta;2,00;Boeing 757;91,7;VERDADERO;1,00;3;19,3;189;8;30;1;0,00;0,45371;1,00;0;0,00
10212;LIM;BOG;9:45:00 a. m.;Lunes;1890;Despejado;Media;1,00;Embraer E195;44,0;FALSO;0,00;9;9,9;174;9;45;1;0,00;0,24515;0,00;0;1,00
10213;POA;GRU;7:45:00 a. m.;Lunes;1110;Nublado;Baja;0,00;Embraer E195;61,0;FALSO;0,00;45;24,7;112;7;45;1;0,00;0,14699;0,00;0;1,00
10214;PTY;CCS;5:15:00 a. m.;Viernes;1010;Despejado;Baja;0,00;Boeing 737 MAX;47,8;FALSO;0,00;23;25,6;105;5;15;1;0,00;0,15438;0,00;0;1,00
10215;FLN;GRU;8:45:00 a. m.;Martes;690;Nublado;Baja;0,00;Embraer E190;78,2;VERDADERO;1,00;10;9,0;95;8;45;1;0,00;0,21336;0,00;0;1,00
10216;JFK;BOG;7:00:00 a. m.;Sabado;3930;Tormenta;Media;1,00;Airbus A350;75,0;FALSO;0,00;45;1,3;337;7;0;1;0,00;0,61369;1,00;0;0,00
10220;EZE;IGR;9:00:00 a. m.;Miercoles;1100;Despejado;Alta;2,00;Airbus A320neo;81,1;FALSO;0,00;23;11,2;119;9;0;1;0,00;0,35299;1,00;0;0,00
10221;GRU;POA;8:15:00 a. m.;Viernes;1110;Niebla;Baja;0,00;Boeing 737 MAX;70,9;VERDADERO;1,00;16;0,6;119;8;15;1;0,00;0,42003;1,00;0;0,00
10225;CTG;MDE;4:00:00 a. m.;Miercoles;365;Nublado;Baja;0,00;Embraer E190;80,1;FALSO;0,00;10;15,6;56;4;0;1;0,00;0,14041;0,00;0;1,00
10227;BOG;GRU;8:45:00 a. m.;Jueves;3940;Nublado;Media;1,00;Boeing 787;62,9;FALSO;0,00;13;14,4;342;8;45;1;0,00;0,23426;0,00;0;1,00
10228;BOG;MEX;8:15:00 a. m.;Lunes;2700;Despejado;Media;1,00;Boeing 757;58,1;FALSO;0,00;19;25,6;228;8;15;1;0,00;0,24579;0,00;0;1,00
10229;GRU;SSA;10:15:00 a. m.;Jueves;1940;Despejado;Baja;0,00;Boeing 737 MAX;75,4;FALSO;0,00;5;12,6;180;10;15;1;0,00;0,15606;0,00;0;1,00
10230;EZE;GIG;8:45:00 a. m.;Jueves;1970;Lluvia;Media;1,00;Boeing 757;70,2;FALSO;0,00;35;7,8;189;8;45;1;0,00;0,34433;1,00;0;0,00
10232;SCL;EZE;10:15:00 a. m.;Lunes;1140;Despejado;Baja;0,00;Airbus A320neo;65,5;FALSO;0,00;7;21,6;114;10;15;1;0,00;0,15619;0,00;0;1,00
10233;EZE;NQN;6:15:00 a. m.;Miercoles;1150;Lluvia;Baja;0,00;Boeing 757;76,3;FALSO;0,00;40;15,9;116;6;15;1;0,00;0,22783;0,00;0;1,00
10234;CLT;PTY;10:45:00 a. m.;Domingo;2890;Despejado;Baja;0,00;Embraer E195;47,1;FALSO;0,00;10;10,5;241;10;45;1;0,00;0,15943;0,00;0;1,00
10235;BAQ;MDE;7:15:00 a. m.;Martes;310;Despejado;Baja;0,00;Boeing 737;45,4;FALSO;0,00;19;28,5;66;7;15;1;0,00;0,15469;0,00;0;1,00
10236;EZE;GRU;11:15:00 a. m.;Sabado;1760;Nublado;Alta;2,00;Embraer E195;41,1;FALSO;0,00;23;19,5;167;11;15;1;0,00;0,34134;1,00;0;0,00
10238;MDE;LIM;11:30:00 a. m.;Viernes;2100;Lluvia;Baja;0,00;Boeing 757;50,0;FALSO;0,00;19;28,4;200;11;30;1;0,00;0,23639;0,00;0;1,00
10241;EZE;AEP;6:30:00 a. m.;Lunes;35;Lluvia;Baja;0,00;Embraer E190;77,6;FALSO;0,00;41;29,1;32;6;30;1;0,00;0,22975;0,00;0;1,00
10243;LIM;MDE;6:30:00 a. m.;Martes;2100;Nublado;Baja;0,00;Boeing 757;97,8;FALSO;0,00;43;9,7;192;6;30;1;0,00;0,14483;0,00;0;1,00
10244;MVD;GRU;5:00:00 a. m.;Lunes;1550;Lluvia;Media;1,00;Embraer E195;94,8;FALSO;0,00;16;29,3;153;5;0;1;0,00;0,34010;1,00;0;0,00
10245;EZE;LIM;8:15:00 a. m.;Domingo;3150;Nublado;Baja;0,00;Airbus A330;71,6;FALSO;0,00;28;7,5;259;8;15;1;0,00;0,14561;0,00;0;1,00
10246;BOG;GRU;6:45:00 a. m.;Sabado;3940;Nublado;Media;1,00;Boeing 777;42,2;FALSO;0,00;18;6,3;327;6;45;1;0,00;0,23159;0,00;0;1,00
10247;BGA;MDE;8:00:00 a. m.;Domingo;295;Despejado;Alta;2,00;Embraer E190;62,6;FALSO;0,00;38;30,0;55;8;0;1;0,00;0,35475;1,00;0;0,00
10249;CCS;PTY;4:15:00 a. m.;Sabado;1010;Despejado;Media;1,00;Airbus A320neo;80,1;VERDADERO;1,00;40;27,9;117;4;15;1;0,00;0,33654;1,00;0;0,00
10250;CCS;PTY;8:45:00 a. m.;Jueves;1010;Despejado;Baja;0,00;Boeing 737 MAX;73,2;FALSO;0,00;38;6,1;109;8;45;1;0,00;0,15538;0,00;0;1,00
10254;FLN;GRU;10:30:00 a. m.;Miercoles;690;Despejado;Baja;0,00;ATR 72;71,6;VERDADERO;1,00;19;14,9;72;10;30;1;0,00;0,22816;0,00;0;1,00
10257;BGA;BOG;7:00:00 a. m.;Lunes;310;Despejado;Media;1,00;ATR 72;73,5;FALSO;0,00;8;16,8;47;7;0;1;0,00;0,23739;0,00;0;1,00
10259;AEP;EZE;7:30:00 a. m.;Jueves;35;Nublado;Alta;2,00;Embraer E190;95,9;FALSO;0,00;37;20,0;27;7;30;1;0,00;0,33649;1,00;0;0,00
10261;BOG;MEX;8:15:00 a. m.;Sabado;2700;Tormenta;Alta;2,00;Boeing 737 MAX;86,5;FALSO;0,00;30;3,1;228;8;15;1;0,00;0,73425;1,00;0;0,00
10263;MDE;GRU;7:30:00 a. m.;Jueves;4180;Nublado;Media;1,00;Airbus A350;66,4;FALSO;0,00;44;28,3;354;7;30;1;0,00;0,23508;0,00;0;1,00
10265;MVD;GRU;5:00:00 a. m.;Sabado;1550;Despejado;Baja;0,00;Airbus A320neo;83,1;FALSO;0,00;7;19,5;152;5;0;1;0,00;0,15314;0,00;0;1,00
10267;LIM;EZE;7:30:00 a. m.;Miercoles;3150;Despejado;Media;1,00;Boeing 787;64,5;FALSO;0,00;15;28,0;266;7;30;1;0,00;0,24814;0,00;0;1,00
10268;EZE;NQN;9:15:00 a. m.;Domingo;1150;Niebla;Baja;0,00;Boeing 737 MAX;89,8;FALSO;0,00;12;1,3;106;9;15;1;0,00;0,31239;0,00;0;1,00
10269;GRU;BSB;8:15:00 a. m.;Jueves;870;Despejado;Baja;0,00;Boeing 757;77,7;VERDADERO;1,00;4;19,4;87;8;15;1;0,00;0,22657;0,00;0;1,00
10270;BOG;BGA;6:30:00 a. m.;Jueves;310;Lluvia;Baja;0,00;Embraer E190;75,8;VERDADERO;1,00;33;14,5;61;6;30;1;0,00;0,32058;0,00;0;1,00
10272;GRU;SCL;8:45:00 a. m.;Sabado;2620;Nublado;Baja;0,00;Boeing 737 MAX;57,0;VERDADERO;1,00;30;21,1;228;8;45;1;0,00;0,21883;0,00;0;1,00
