id_vuelo,aeropuerto_origen,aeropuerto_destino,hora_salida_programada,dia_semana,distancia_vuelo,condiciones_climaticas,congestion_aerea,tipo_avion,ocupacion_vuelo,temporada_alta,puerta_embarque,visibilidad,tiempo_estimado_vuelo,demora
10026,GRU,MIA,08:45,Jueves,7520,Nublado,Media,Boeing 787,64.4,FALSO,23,22.6,599,0
10027,GRU,SCL,07:15,Domingo,2620,Despejado,Baja,Airbus A320neo,55.2,VERDADERO,39,28.8,231,0
10028,TUC,EZE,06:45,Domingo,1230,Nublado,Alta,Boeing 757,75.7,FALSO,33,14.6,123,0
10029,GIG,GRU,09:00,Sabado,360,Despejado,Baja,Airbus A320,73,FALSO,10,7.5,62,0
10030,BAQ,BOG,08:15,Viernes,145,Tormenta,Media,Embraer E190,60.4,FALSO,47,1.7,54,0
10033,GRU,PTY,09:00,Lunes,4630,Tormenta,Baja,Airbus A350,58.3,VERDADERO,46,1.5,386,1
10034,BOG,PTY,07:00,Lunes,650,Nublado,Baja,Embraer E190,85.2,FALSO,14,5.9,78,0
10037,POA,GRU,07:15,Miercoles,1110,Despejado,Media,Boeing 737 MAX,81.9,FALSO,37,14.1,104,0
10038,BAQ,MDE,07:15,Miercoles,310,Nublado,Baja,Embraer E190,85.8,VERDADERO,39,17.4,63,0
10040,BOG,MEX,08:45,Martes,2700,Despejado,Baja,Boeing 757,74.7,FALSO,38,17.1,223,0
10041,BAQ,BOG,09:45,Viernes,145,Despejado,Media,Airbus A320,73.2,VERDADERO,28,13.6,40,1
10044,GRU,POA,08:15,Domingo,1110,Lluvia,Baja,Boeing 737 MAX,88.6,VERDADERO,10,29.2,113,1
10045,MDE,CLO,11:00,Martes,265,Despejado,Media,Airbus A320,94.5,FALSO,20,16.9,59,0
10046,EZE,UIO,08:30,Domingo,3900,Despejado,Media,Boeing 777,65.8,FALSO,33,10,335,1
10049,LIM,BOG,06:30,Domingo,1890,Despejado,Media,Boeing 757,60.3,VERDADERO,31,11.7,180,0
10052,MDE,BOG,08:45,Sabado,235,Nublado,Media,ATR 72,93.6,FALSO,38,27.7,58,1
10053,CLO,BOG,08:00,Lunes,300,Tormenta,Baja,Airbus A320,91.9,VERDADERO,8,2.6,61,0
10054,CCS,BOG,08:30,Martes,1010,Nublado,Baja,Airbus A320neo,93.5,VERDADERO,18,20.4,98,0
10056,BSB,GRU,09:00,Sabado,870,Despejado,Baja,Airbus A320neo,71.2,FALSO,8,29.2,105,0
10057,GRU,POA,08:45,Sabado,1110,Lluvia,Baja,Airbus A320neo,48.4,FALSO,33,28.7,129,1
10059,CLO,MDE,05:00,Domingo,265,Nublado,Baja,Embraer E190,95.3,FALSO,49,28.9,51,1
10061,PEI,BOG,05:45,Jueves,265,Nublado,Media,ATR 72,74.9,FALSO,19,12.9,46,0
10062,BOG,MDE,07:15,Miercoles,235,Despejado,Media,Embraer E190,82.9,VERDADERO,8,25.7,39,1
10063,BAQ,BOG,08:15,Lunes,145,Lluvia,Alta,ATR 72,86.4,FALSO,49,28.4,32,0
10064,PTY,BOG,08:15,Jueves,650,Tormenta,Baja,Embraer E190,71.4,FALSO,15,1.3,91,0
10065,MDE,MIA,05:45,Martes,2750,Nublado,Alta,Embraer E195,90.5,VERDADERO,31,6.2,255,0
10066,EZE,SCL,09:00,Viernes,1140,Lluvia,Media,Boeing 757,62,VERDADERO,8,11.6,118,0
10067,SJO,PTY,07:15,Lunes,580,Despejado,Media,Airbus A320,66.6,FALSO,1,5.7,86,0
10068,NQN,EZE,07:15,Lunes,1150,Lluvia,Alta,Boeing 737 MAX,29.7,FALSO,40,7.9,115,0
10069,IGR,EZE,07:45,Miercoles,1100,Despejado,Media,Boeing 757,50.5,VERDADERO,17,23.4,129,1
10070,CTG,BOG,07:15,Martes,135,Despejado,Alta,Airbus A320,53.5,FALSO,12,16.9,58,1
10071,SCL,EZE,09:45,Martes,1140,Tormenta,Media,Airbus A320neo,51.7,VERDADERO,34,2.7,118,1
10072,MDE,BAQ,07:45,Viernes,310,Despejado,Media,Boeing 737,78.1,FALSO,23,29.5,51,0
10074,PTY,LIM,08:45,Martes,2970,Nublado,Baja,Embraer E195,82.3,FALSO,44,27.7,263,0
10075,EZE,AEP,06:15,Miercoles,35,Tormenta,Media,Boeing 737,46.1,VERDADERO,26,2.5,29,1
10076,BOG,CLO,07:00,Lunes,300,Despejado,Alta,Boeing 737,97.3,FALSO,44,5.5,58,1
10077,BOG,CTG,10:15,Miercoles,135,Despejado,Media,ATR 72,98.6,FALSO,49,14,32,0
10078,EZE,MDZ,05:45,Viernes,1040,Nublado,Media,Embraer E195,62.4,VERDADERO,33,5.5,106,0
10079,COR,EZE,04:45,Miercoles,695,Lluvia,Baja,Airbus A320,79.3,FALSO,18,24.3,99,0
10080,PTY,MIA,06:15,Domingo,2200,Niebla,Media,Boeing 737 MAX,48.8,FALSO,16,0.2,204,1
10081,SSA,GRU,08:45,Domingo,1940,Lluvia,Media,Boeing 737 MAX,50.2,VERDADERO,32,6.2,182,1
10082,PTY,MIA,04:15,Miercoles,2200,Nublado,Media,Airbus A320neo,94.4,VERDADERO,3,21.6,189,0
10083,BOG,CTG,09:45,Lunes,135,Niebla,Baja,Airbus A320,47.5,VERDADERO,30,1.8,54,1
10084,GRU,CWB,07:45,Martes,410,Tormenta,Media,ATR 72,77.3,VERDADERO,18,1.2,79,0
10085,MDE,PEI,10:45,Miercoles,140,Nublado,Media,ATR 72,93.6,VERDADERO,38,6.7,43,0
10087,GRU,SCL,07:30,Martes,2620,Despejado,Media,Boeing 737 MAX,74.3,FALSO,36,5.5,242,0
10088,EZE,GRU,09:15,Lunes,1760,Tormenta,Baja,Boeing 757,54.4,FALSO,19,1.6,167,1
10090,CWB,GRU,07:15,Sabado,410,Nublado,Baja,Embraer E190,71.2,FALSO,36,28.3,50,1
10091,PTY,JFK,03:00,Miercoles,3520,Tormenta,Alta,Airbus A330,65.6,FALSO,35,1.6,310,1
10092,MDE,GRU,08:15,Miercoles,4180,Despejado,Baja,Airbus A350,84.7,VERDADERO,19,5.4,337,1
10093,LIM,GRU,06:45,Miercoles,3620,Tormenta,Media,Boeing 787,83.2,FALSO,16,4.9,292,1
10094,SJO,PTY,09:45,Sabado,580,Tormenta,Alta,ATR 72,77.7,FALSO,14,0.9,78,0
10096,PTY,MIA,08:15,Viernes,2200,Nublado,Baja,Airbus A320neo,63.7,FALSO,15,25.4,209,0
10097,COR,EZE,09:15,Viernes,695,Lluvia,Alta,Boeing 737,90.3,FALSO,47,29.5,83,0
10098,GRU,FLN,09:15,Lunes,690,Despejado,Media,ATR 72,83.5,FALSO,27,10.5,89,0
10099,NQN,EZE,08:00,Domingo,1150,Nublado,Alta,Boeing 737 MAX,68,FALSO,48,10.1,108,0
10101,BOG,LIM,08:45,Viernes,1890,Despejado,Baja,Boeing 757,75.3,VERDADERO,23,11.7,167,0
10105,GRU,MIA,07:15,Martes,7520,Despejado,Media,Boeing 787,66.1,VERDADERO,1,9.3,587,1
10106,BOG,PEI,06:15,Viernes,265,Despejado,Media,ATR 72,50.5,FALSO,40,14.2,68,0
10107,MIA,MDE,08:00,Miercoles,2750,Despejado,Alta,Boeing 737 MAX,94.7,FALSO,7,20.7,244,0
10108,BOG,CTG,05:30,Martes,135,Tormenta,Media,Embraer E190,63.2,VERDADERO,6,4.5,35,1
10109,JFK,MDE,07:45,Jueves,3560,Nublado,Media,Airbus A350,78.3,VERDADERO,26,8.6,295,0
10110,GRU,CWB,10:00,Miercoles,410,Despejado,Alta,ATR 72,86,FALSO,5,17,72,0
10111,SSA,GRU,09:45,Miercoles,1940,Despejado,Baja,Boeing 757,58.1,FALSO,20,26.6,183,0
10112,LIM,GRU,07:15,Miercoles,3620,Lluvia,Baja,Boeing 777,44.4,VERDADERO,20,27.9,299,0
10113,MDZ,EZE,07:30,Miercoles,1040,Nublado,Alta,Boeing 757,77,FALSO,31,15.3,116,1
10115,GRU,MAD,07:15,Viernes,9350,Nublado,Media,Boeing 787,70.6,FALSO,4,9,737,0
10118,BOG,UIO,08:00,Viernes,730,Despejado,Baja,ATR 72,77,FALSO,37,8.1,84,0
10119,EZE,AEP,07:00,Viernes,35,Nublado,Media,Boeing 737,77.9,FALSO,33,9.9,37,1
10121,MDE,CTG,07:45,Domingo,365,Despejado,Media,Embraer E190,58,VERDADERO,6,8.2,73,0
10123,GIG,GRU,06:45,Jueves,360,Despejado,Media,Airbus A320,83,FALSO,3,8.1,59,0
10125,MDE,CTG,09:45,Miercoles,365,Lluvia,Alta,Airbus A320,47.1,FALSO,18,10.8,68,1
10126,MDE,LIM,09:30,Domingo,2100,Nublado,Baja,Embraer E195,87,VERDADERO,32,19.1,197,1
10127,UIO,EZE,08:00,Lunes,3900,Lluvia,Media,Boeing 787,80.9,FALSO,7,18.8,340,1
10129,CLT,PTY,06:00,Martes,2890,Despejado,Baja,Boeing 757,23.4,VERDADERO,32,17.8,253,0
10130,CWB,GRU,08:30,Domingo,410,Nublado,Media,ATR 72,54.3,FALSO,49,9.7,60,0
10132,EZE,MDZ,06:45,Viernes,1040,Lluvia,Media,Boeing 737 MAX,60.1,VERDADERO,3,27.7,113,0
10133,CLO,BOG,09:30,Viernes,300,Nublado,Baja,ATR 72,74.9,FALSO,37,16.5,50,0
10134,MDE,CLO,08:30,Jueves,265,Despejado,Alta,Boeing 737,39.1,FALSO,9,24.8,59,0
10137,POA,GRU,05:15,Sabado,1110,Despejado,Media,Boeing 757,94.8,VERDADERO,35,5.4,130,0
10139,GRU,CDG,07:45,Martes,9400,Despejado,Media,Boeing 777,69,VERDADERO,32,11,745,0
10141,SCL,EZE,09:45,Viernes,1140,Nublado,Media,Embraer E195,88.6,VERDADERO,35,29.2,134,0
10142,GRU,BSB,09:45,Lunes,870,Despejado,Baja,Boeing 757,52.9,FALSO,35,5.1,113,0
10143,MDE,PEI,07:15,Lunes,140,Niebla,Media,Boeing 737,61.5,VERDADERO,45,0.5,42,0
10144,CTG,BOG,06:30,Domingo,135,Despejado,Alta,Boeing 737,77.4,FALSO,26,20.8,44,0
10145,BOG,EZE,06:00,Martes,4650,Despejado,Alta,Airbus A330,86.6,FALSO,6,13.4,391,1
10146,PTY,SJO,07:00,Miercoles,580,Despejado,Media,ATR 72,42.3,VERDADERO,18,15.5,73,0
10149,JFK,PTY,06:15,Domingo,3520,Despejado,Media,Boeing 787,89.3,FALSO,30,24.2,284,1
10152,UIO,PTY,08:15,Jueves,1420,Tormenta,Media,Embraer E195,81,FALSO,20,4.7,128,0
10153,GIG,GRU,07:30,Martes,360,Niebla,Media,Airbus A320,80.9,VERDADERO,17,1.4,62,1
10154,BSB,GRU,06:30,Lunes,870,Despejado,Media,Airbus A320neo,85.9,FALSO,25,8.3,92,1
10155,PEI,BOG,09:00,Lunes,265,Despejado,Baja,Embraer E190,57.6,VERDADERO,10,19.4,47,0
10156,EZE,MVD,07:15,Viernes,210,Nublado,Baja,Embraer E190,76.6,VERDADERO,2,24.2,36,0
10157,PEI,BOG,05:45,Viernes,265,Despejado,Baja,Airbus A320,32.6,VERDADERO,46,7.6,44,0
10158,MDE,BAQ,09:15,Miercoles,310,Lluvia,Media,Boeing 737,90.8,FALSO,48,28.6,49,1
10159,PTY,MIA,10:45,Sabado,2200,Nublado,Baja,Boeing 737 MAX,67.2,FALSO,21,6.4,202,0
10160,MEX,GRU,07:00,Viernes,7300,Despejado,Media,Boeing 777,66.9,FALSO,24,25.9,571,0
10161,MEX,GRU,08:30,Viernes,7300,Despejado,Baja,Airbus A350,91.9,FALSO,11,17.1,590,0
10162,PTY,MDE,07:15,Lunes,715,Nublado,Alta,Embraer E190,67.4,VERDADERO,41,20.2,73,0
10163,CTG,BOG,06:45,Miercoles,135,Despejado,Baja,Embraer E190,79.1,VERDADERO,1,17.3,40,0
10164,EZE,SCL,10:00,Martes,1140,Despejado,Baja,Airbus A320neo,85.7,VERDADERO,26,28.9,132,1
10165,BOG,MDE,06:30,Lunes,235,Despejado,Alta,Airbus A320,69.7,FALSO,25,16.7,40,1
10166,PTY,IAH,05:15,Sabado,2860,Despejado,Baja,Boeing 757,78.8,FALSO,5,13.8,246,0
10167,GRU,MAD,07:15,Viernes,9350,Nublado,Media,Boeing 787,94.7,FALSO,28,29.7,728,1
10171,PTY,SJO,09:45,Jueves,580,Despejado,Media,Boeing 737,83.8,FALSO,4,28.7,73,0
10172,EZE,MAD,07:45,Miercoles,10050,Despejado,Baja,Boeing 777,62.5,VERDADERO,18,7.5,786,0
10173,MDE,CLO,08:15,Lunes,265,Despejado,Baja,Embraer E190,87.8,FALSO,11,10.4,56,0
10174,MDE,BOG,09:45,Sabado,235,Lluvia,Media,Boeing 737,77.2,VERDADERO,40,5.2,51,1
10175,CTG,MDE,08:30,Jueves,365,Despejado,Media,Boeing 737,50.4,VERDADERO,29,8.2,59,0
10176,MVD,EZE,10:45,Jueves,210,Despejado,Media,Embraer E190,72.5,FALSO,47,15.8,43,0
10178,ASU,EZE,04:00,Lunes,1050,Despejado,Media,Embraer E195,82.1,FALSO,25,7.4,124,0
10179,GRU,FLN,09:30,Viernes,690,Despejado,Alta,Boeing 737,63.4,VERDADERO,45,5.8,89,1
10180,POA,GRU,08:45,Martes,1110,Niebla,Alta,Embraer E195,92.7,VERDADERO,34,1.7,114,0
10184,PTY,IAH,07:30,Martes,2860,Despejado,Media,Embraer E195,47.4,FALSO,45,28.2,255,0
10185,BOG,MIA,09:00,Martes,3160,Nublado,Media,Airbus A350,91.5,FALSO,19,14.2,257,0
10186,CLT,PTY,08:45,Miercoles,2890,Lluvia,Baja,Embraer E195,70.7,VERDADERO,10,12.3,258,1
10187,EZE,AEP,08:45,Jueves,35,Despejado,Baja,Boeing 737,92.3,FALSO,21,5.9,47,0
10188,BOG,CTG,06:00,Jueves,135,Despejado,Baja,Embraer E190,89.4,VERDADERO,38,26.2,41,0
10189,MDE,PEI,08:45,Lunes,140,Niebla,Alta,Airbus A320,67.3,FALSO,6,1.6,57,0
10190,BOG,MDE,10:45,Sabado,235,Despejado,Alta,Embraer E190,24.2,FALSO,3,26.1,66,1
10191,EZE,ROS,09:15,Martes,295,Despejado,Baja,Airbus A320,71.8,VERDADERO,9,23.3,61,0
10192,MEX,PTY,08:30,Viernes,2280,Nublado,Baja,Boeing 757,87,FALSO,28,24.4,195,0
10193,MVD,GRU,08:00,Lunes,1550,Despejado,Alta,Boeing 737 MAX,84.9,FALSO,47,21.6,157,0
10194,PEI,BOG,07:15,Jueves,265,Despejado,Baja,Airbus A320,33,FALSO,20,14,62,1
10195,AEP,EZE,05:30,Miercoles,35,Lluvia,Baja,Airbus A320,81.6,FALSO,38,12.4,28,0
10196,BOG,BGA,08:00,Martes,310,Lluvia,Baja,Airbus A320,56,VERDADERO,9,15.3,51,0
10198,GUA,PTY,07:15,Viernes,820,Despejado,Baja,Boeing 757,91.7,VERDADERO,30,20.7,106,0
10199,MIA,BOG,12:45,Sabado,3160,Niebla,Baja,Airbus A350,46.3,FALSO,27,2.9,286,0
10200,MVD,EZE,08:00,Sabado,210,Nublado,Baja,Embraer E190,69.8,FALSO,20,6.3,35,0
10202,MIA,EZE,08:30,Martes,7720,Despejado,Alta,Airbus A330,79.2,VERDADERO,23,23.9,601,1
10203,BOG,PEI,06:15,Sabado,265,Despejado,Baja,Embraer E190,81.5,VERDADERO,46,9.4,63,1
10204,MDE,EZE,06:00,Sabado,4900,Niebla,Baja,Airbus A330,57.6,FALSO,45,2.2,398,1
10205,PTY,MDE,08:00,Domingo,715,Despejado,Alta,Airbus A320,92.6,VERDADERO,33,9.5,85,0
10207,LIM,EZE,05:15,Domingo,3150,Despejado,Baja,Airbus A330,88.8,VERDADERO,18,5.5,261,1
10208,MIA,PTY,08:45,Lunes,2200,Lluvia,Alta,Boeing 757,89.8,VERDADERO,32,20.9,211,1
10209,BOG,PEI,06:00,Martes,265,Despejado,Baja,Boeing 737,66.2,FALSO,4,28,57,1
10210,EZE,GIG,08:30,Viernes,1970,Nublado,Alta,Boeing 757,91.7,VERDADERO,3,19.3,189,0
10212,LIM,BOG,09:45,Lunes,1890,Despejado,Media,Embraer E195,44,FALSO,9,9.9,174,0
10213,POA,GRU,07:45,Lunes,1110,Nublado,Baja,Embraer E195,61,FALSO,45,24.7,112,0
10214,PTY,CCS,05:15,Viernes,1010,Despejado,Baja,Boeing 737 MAX,47.8,FALSO,23,25.6,105,0
10215,FLN,GRU,08:45,Martes,690,Nublado,Baja,Embraer E190,78.2,VERDADERO,10,9,95,0
10216,JFK,BOG,07:00,Sabado,3930,Tormenta,Media,Airbus A350,75,FALSO,45,1.3,337,0
10217,BRC,EZE,09:15,Viernes,1650,Tormenta,Media,Boeing 737 MAX,65,VERDADERO,6,3.5,155,1
10220,EZE,IGR,09:00,Miercoles,1100,Despejado,Alta,Airbus A320neo,81.1,FALSO,23,11.2,119,0
10221,GRU,POA,08:15,Viernes,1110,Niebla,Baja,Boeing 737 MAX,70.9,VERDADERO,16,0.6,119,0
10224,CTG,MDE,07:30,Viernes,365,Despejado,Alta,Boeing 737,89.8,FALSO,22,22.1,55,1
10225,CTG,MDE,04:00,Miercoles,365,Nublado,Baja,Embraer E190,80.1,FALSO,10,15.6,56,0
10226,SCL,EZE,06:45,Martes,1140,Niebla,Media,Boeing 737 MAX,80.3,FALSO,22,0.3,106,1
10227,BOG,GRU,08:45,Jueves,3940,Nublado,Media,Boeing 787,62.9,FALSO,13,14.4,342,0
10228,BOG,MEX,08:15,Lunes,2700,Despejado,Media,Boeing 757,58.1,FALSO,19,25.6,228,0
10229,GRU,SSA,10:15,Jueves,1940,Despejado,Baja,Boeing 737 MAX,75.4,FALSO,5,12.6,180,0
10230,EZE,GIG,08:45,Jueves,1970,Lluvia,Media,Boeing 757,70.2,FALSO,35,7.8,189,0
10232,SCL,EZE,10:15,Lunes,1140,Despejado,Baja,Airbus A320neo,65.5,FALSO,7,21.6,114,0
10233,EZE,NQN,06:15,Miercoles,1150,Lluvia,Baja,Boeing 757,76.3,FALSO,40,15.9,116,0
10234,CLT,PTY,10:45,Domingo,2890,Despejado,Baja,Embraer E195,47.1,FALSO,10,10.5,241,0
10235,BAQ,MDE,07:15,Martes,310,Despejado,Baja,Boeing 737,45.4,FALSO,19,28.5,66,0
10236,EZE,GRU,11:15,Sabado,1760,Nublado,Alta,Embraer E195,41.1,FALSO,23,19.5,167,0
10237,BSB,GRU,09:15,Viernes,870,Nublado,Media,Airbus A320neo,76.3,FALSO,7,24.3,98,1
10238,MDE,LIM,11:30,Viernes,2100,Lluvia,Baja,Boeing 757,50,FALSO,19,28.4,200,0
10239,BOG,CCS,08:15,Sabado,1010,Despejado,Media,Embraer E195,76.5,VERDADERO,44,6.8,115,1
10240,BAQ,BOG,07:00,Lunes,145,Despejado,Media,Airbus A320,42.9,VERDADERO,21,9.2,43,1
10241,EZE,AEP,06:30,Lunes,35,Lluvia,Baja,Embraer E190,77.6,FALSO,41,29.1,32,0
10243,LIM,MDE,06:30,Martes,2100,Nublado,Baja,Boeing 757,97.8,FALSO,43,9.7,192,0
10244,MVD,GRU,05:00,Lunes,1550,Lluvia,Media,Embraer E195,94.8,FALSO,16,29.3,153,0
10245,EZE,LIM,08:15,Domingo,3150,Nublado,Baja,Airbus A330,71.6,FALSO,28,7.5,259,0
10246,BOG,GRU,06:45,Sabado,3940,Nublado,Media,Boeing 777,42.2,FALSO,18,6.3,327,0
10247,BGA,MDE,08:00,Domingo,295,Despejado,Alta,Embraer E190,62.6,FALSO,38,30,55,0
10249,CCS,PTY,04:15,Sabado,1010,Despejado,Media,Airbus A320neo,80.1,VERDADERO,40,27.9,117,0
10250,CCS,PTY,08:45,Jueves,1010,Despejado,Baja,Boeing 737 MAX,73.2,FALSO,38,6.1,109,0
10251,EZE,ROS,08:30,Jueves,295,Niebla,Alta,Embraer E190,70.3,VERDADERO,8,2.1,62,1
10254,FLN,GRU,10:30,Miercoles,690,Despejado,Baja,ATR 72,71.6,VERDADERO,19,14.9,72,0
10256,MDE,UIO,08:00,Domingo,960,Lluvia,Media,Boeing 757,49.6,FALSO,20,23.2,116,1
10257,BGA,BOG,07:00,Lunes,310,Despejado,Media,ATR 72,73.5,FALSO,8,16.8,47,0
10259,AEP,EZE,07:30,Jueves,35,Nublado,Alta,Embraer E190,95.9,FALSO,37,20,27,0
10261,BOG,MEX,08:15,Sabado,2700,Tormenta,Alta,Boeing 737 MAX,86.5,FALSO,30,3.1,228,0
10262,MIA,EZE,08:15,Sabado,7720,Lluvia,Media,Boeing 787,68.2,FALSO,2,7.9,614,1
10263,MDE,GRU,07:30,Jueves,4180,Nublado,Media,Airbus A350,66.4,FALSO,44,28.3,354,0
10264,EZE,NQN,04:45,Lunes,1150,Nublado,Baja,Airbus A320neo,57.7,VERDADERO,8,25.8,115,1
10265,MVD,GRU,05:00,Sabado,1550,Despejado,Baja,Airbus A320neo,83.1,FALSO,7,19.5,152,0
10267,LIM,EZE,07:30,Miercoles,3150,Despejado,Media,Boeing 787,64.5,FALSO,15,28,266,0
10268,EZE,NQN,09:15,Domingo,1150,Niebla,Baja,Boeing 737 MAX,89.8,FALSO,12,1.3,106,0
10269,GRU,BSB,08:15,Jueves,870,Despejado,Baja,Boeing 757,77.7,VERDADERO,4,19.4,87,0
10270,BOG,BGA,06:30,Jueves,310,Lluvia,Baja,Embraer E190,75.8,VERDADERO,33,14.5,61,0
10271,GRU,GIG,09:00,Sabado,360,Despejado,Alta,ATR 72,82.5,FALSO,4,13,72,1
10272,GRU,SCL,08:45,Sabado,2620,Nublado,Baja,Boeing 737 MAX,57,VERDADERO,30,21.1,228,0
10273,EZE,AEP,08:00,Sabado,35,Nublado,Media,Airbus A320,84.1,VERDADERO,8,19.6,31,0
10276,EZE,MDZ,08:15,Martes,1040,Lluvia,Alta,Airbus A320neo,89.3,FALSO,26,7.7,99,0
10277,BOG,CLO,08:30,Jueves,300,Lluvia,Alta,ATR 72,89.3,VERDADERO,32,16.9,68,1
10278,GIG,GRU,05:45,Viernes,360,Despejado,Baja,ATR 72,79.9,FALSO,10,14,56,0
10280,AEP,EZE,06:00,Sabado,35,Nublado,Media,ATR 72,82.3,FALSO,30,20.1,49,0
10281,MDE,BAQ,08:00,Viernes,310,Nublado,Media,ATR 72,67.8,FALSO,27,12.9,48,0
10282,EZE,AEP,09:15,Viernes,35,Lluvia,Alta,Boeing 737,98.9,FALSO,13,13.5,48,0
10283,MVD,EZE,06:30,Viernes,210,Lluvia,Media,Embraer E190,84.1,VERDADERO,4,18.4,50,1
10284,PTY,UIO,06:15,Sabado,1420,Despejado,Baja,Boeing 737 MAX,90.1,FALSO,46,15.4,145,0
10288,CLO,MDE,09:15,Domingo,265,Tormenta,Media,Airbus A320,89.9,FALSO,17,4.4,58,0
10289,JFK,PTY,08:00,Domingo,3520,Despejado,Alta,Airbus A350,64,VERDADERO,34,17.6,287,0
10290,BGA,MDE,08:00,Sabado,295,Despejado,Alta,Boeing 737,51.5,FALSO,29,6.5,46,0
10293,LIM,GRU,06:30,Viernes,3620,Nublado,Media,Boeing 777,98.6,VERDADERO,32,23.1,292,0
10295,EZE,COR,09:00,Martes,695,Nublado,Baja,Airbus A320,89.1,FALSO,9,28.8,94,0
10296,PEI,MDE,05:15,Viernes,140,Despejado,Media,Airbus A320,50.1,FALSO,18,10.9,38,0
10297,MDE,PTY,05:30,Martes,715,Lluvia,Baja,Airbus A320,71.1,VERDADERO,23,22.2,94,0
10298,MIA,MDE,09:30,Martes,2750,Niebla,Baja,Boeing 757,76.7,VERDADERO,10,0.2,253,0
10299,MVD,EZE,08:00,Jueves,210,Despejado,Alta,Boeing 737,65.1,FALSO,35,22.3,39,0
10300,BOG,CLO,07:30,Domingo,300,Lluvia,Baja,Boeing 737,73.7,VERDADERO,5,29.6,47,0
10301,EZE,AEP,06:45,Martes,35,Despejado,Baja,ATR 72,96.8,VERDADERO,40,21.7,29,0
10302,MEX,PTY,07:15,Viernes,2280,Nublado,Baja,Boeing 737 MAX,68.6,FALSO,34,15.9,203,0
10303,EZE,AEP,08:00,Sabado,35,Nublado,Baja,Boeing 737,73,FALSO,22,20.3,50,0
10304,EZE,SCL,08:15,Viernes,1140,Lluvia,Baja,Embraer E195,91.9,VERDADERO,28,16,130,0
10306,CLO,MDE,10:00,Domingo,265,Lluvia,Media,ATR 72,47.8,FALSO,46,12.1,42,0
10307,SCL,GRU,06:00,Lunes,2620,Despejado,Media,Airbus A320neo,30,FALSO,12,11.3,230,0
10308,BOG,CCS,08:15,Miercoles,1010,Despejado,Baja,Embraer E195,85,FALSO,25,16.9,101,0
10309,CTG,BOG,11:45,Jueves,135,Niebla,Alta,Boeing 737,63.5,FALSO,37,2.9,50,1
10310,EZE,TUC,08:45,Viernes,1230,Nublado,Baja,Boeing 737 MAX,83,VERDADERO,45,17.9,132,0
10311,CTG,BOG,09:00,Viernes,135,Despejado,Alta,Airbus A320,66.4,FALSO,1,18.5,32,1
10312,BOG,PEI,07:15,Lunes,265,Lluvia,Alta,Boeing 737,66.3,VERDADERO,3,21.9,50,0
10313,GRU,BSB,07:00,Viernes,870,Despejado,Alta,Embraer E195,73.3,FALSO,3,6.2,111,0
